"","X.2","X.1","X","out_train_lm","out_train_kknn","out_train_m5p"
"1",1,1,"abalone",4.82,2.22,4.25
"2",2,2,"ANACALT",0.17,0.0063,0.0059
"3",3,3,"autoMPG6",11.29,3.53,6.87
"4",4,4,"autoMPG8",10.79,3.55,6.6
"5",5,5,"baseball",448159,202088,392589
"6",6,6,"california",4826189710,1560868807,2558518379
"7",7,7,"concrete",107,28.7,30
"8",8,8,"dee",0.16188,0.07611,0.16201
"9",9,9,"delta_ail",2.96e-08,1.4e-08,2.51e-08
"10",10,10,"delta_elv",2.1e-06,1.05e-06,2.02e-06
"11",11,11,"forestFires",3945,2206,3980
"12",12,12,"friedman",7.23,1.42,4.36
"13",13,13,"house",2061567056,525986990,938429860
"14",14,14,"mortgage",0.013543,0.008827,0.011015
"15",15,15,"stock",5.35,0.18,0.59
"16",16,16,"treasury",0.055203,0.015998,0.040404
"17",17,17,"wankara",2.43,2.74,1.51
"18",18,1.56340128552534,NA,1.57864104666839,1.57864104666839,1.57864104666839
